,treeid,trayid,camp,species,circumference,diameter,baseheight,trayheight,height,fogdate,latitude,longitude,utm_x,utm_y,GPS_alt,DEM30_alt,DEM10_alt,climband
TC_T3-1,3,T3-1,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-10,3,T3-10,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-11,3,T3-11,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-14,3,T3-14,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-15,3,T3-15,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-16,3,T3-16,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-17,3,T3-17,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-18,3,T3-18,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-19,3,T3-19,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-2,3,T3-2,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-20,3,T3-20,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-21,3,T3-21,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-22,3,T3-22,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-23,3,T3-23,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-24,3,T3-24,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-25,3,T3-25,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-27,3,T3-27,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-28,3,T3-28,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-29,3,T3-29,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-30,3,T3-30,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-31,3,T3-31,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
TC_T3-32,3,T3-32,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600,2020
