otu8	k:Eukaryota(1.0000),p:Arthropoda(0.9300),c:Insecta(0.8277),o:Coleoptera(0.6042),f:Curculionidae(0.3142),g:Kyklioacalles(0.0220),s:Kyklioacalles yestensis(0.0007)	+	k:Eukaryota
otu5	k:Eukaryota(1.0000),p:Arthropoda(0.9200),c:Collembola(0.0920),o:Entomobryomorpha(0.0074),f:Entomobryidae(0.0005),g:Orchesella(0.0000),s:Orchesella cincta(0.0000)	+	k:Eukaryota
otu3	k:Eukaryota(1.0000),p:Arthropoda(0.8800),c:Insecta(0.7656),o:Lepidoptera(0.4211),f:Hesperiidae(0.0084),g:Xenophanes(0.0002),s:Xenophanes tryxus(0.0000)	+	k:Eukaryota
otu1	k:Eukaryota(1.0000),p:Arthropoda(1.0000),c:Insecta(1.0000),o:Coleoptera(0.6000),f:Scirtidae(0.0420),g:Pseudomicrocara(0.0021),s:Pseudomicrocara occidentalis(0.0001)	+	k:Eukaryota,p:Arthropoda,c:Insecta
otu9	k:Eukaryota(1.0000),p:Chordata(0.2000),c:Mammalia(0.0160),o:Rodentia(0.0008),f:Echimyidae(0.0000),g:Makalata(0.0000),s:Makalata didelphoides(0.0000)	+	k:Eukaryota
otu10	k:Eukaryota(1.0000),p:Arthropoda(0.9700),c:Insecta(0.9312),o:Coleoptera(0.8195),f:Elateridae(0.5490),g:Nipponoelater(0.0275),s:Nipponoelater kometsuki(0.0014)	+	k:Eukaryota
otu7	k:Eukaryota(1.0000),p:Arthropoda(0.9900),c:Insecta(0.9702),o:Lepidoptera(0.4851),f:Adelidae(0.0146),g:Adela(0.0004),s:Adela septentrionella(0.0000)	+	k:Eukaryota
otu6	k:Eukaryota(1.0000),p:Arthropoda(1.0000),c:Insecta(1.0000),o:Coleoptera(0.4300),f:Tenebrionidae(0.0731),g:Opatrum(0.0037),s:Opatrum riparium(0.0001)	+	k:Eukaryota,p:Arthropoda,c:Insecta
otu2	k:Eukaryota(1.0000),p:Arthropoda(0.9900),c:Insecta(0.9702),o:Lepidoptera(0.5239),f:Geometridae(0.0838),g:Idaea(0.0034),s:Idaea straminata(0.0001)	+	k:Eukaryota
otu4	k:Eukaryota(1.0000),p:Arthropoda(1.0000),c:Insecta(0.9900),o:Diptera(0.9207),f:Drosophilidae(0.4143),g:Drosophila(0.1077),s:Drosophila subauraria(0.0054)	+	k:Eukaryota,p:Arthropoda
otu14	k:Eukaryota(1.0000),p:Arthropoda(0.5800),c:Insecta(0.0986),o:Hemiptera(0.0030),f:Cicadidae(0.0001),g:Pauropsalta(0.0000),s:Pauropsalta contigua(0.0000)	+	k:Eukaryota
otu12	k:Eukaryota(1.0000),p:Arthropoda(1.0000),c:Insecta(0.9900),o:Coleoptera(0.5841),f:Curculionidae(0.1343),g:Galapaganus(0.0040),s:Galapaganus vandykei(0.0001)	+	k:Eukaryota,p:Arthropoda
otu11	k:Eukaryota(1.0000),p:Chordata(0.0800),o:Testudines(0.0016),f:Kinosternidae(0.0000),g:Sternotherus(0.0000),s:Sternotherus carinatus(0.0000)	+	k:Eukaryota
otu16	k:Eukaryota(1.0000),p:Arthropoda(0.9700),c:Insecta(0.9021),o:Hemiptera(0.0812),f:Nabidae(0.0024),g:Gorpis(0.0001),s:Gorpis annulatus(0.0000)	+	k:Eukaryota
otu13	k:Eukaryota(1.0000),p:Arthropoda(0.9300),c:Insecta(0.7812),o:Lepidoptera(0.1250),f:Nymphalidae(0.0087),g:Scada(0.0002),s:Scada zibia(0.0000)	+	k:Eukaryota
