Run ID,minsize,denoising alpha,readpercent
denoise_ms2_aX,2,X,100
denoise_ms2_a1,2,1,100
denoise_ms2_a2,2,2,100
denoise_ms2_a3,2,3,100
denoise_ms2_a5,2,5,100
denoise_ms2_a7,2,7,100
denoise_ms2_a9,2,9,100
denoise_ms2_a11,2,11,100
denoise_ms5_aX,5,X,100
denoise_ms5_a1,5,1,100
denoise_ms5_a2,5,2,100
denoise_ms5_a3,5,3,100
denoise_ms5_a5,5,5,100
denoise_ms5_a7,5,7,100
denoise_ms5_a9,5,9,100
denoise_ms5_a11,5,11,100
denoise_ms8_aX,8,X,100
denoise_ms8_a1,8,1,100
denoise_ms8_a2,8,2,100
denoise_ms8_a3,8,3,100
denoise_ms8_a5,8,5,100
denoise_ms8_a7,8,7,100
denoise_ms8_a9,8,9,100
denoise_ms8_a11,8,11,100
denoise_ms10_aX,10,X,100
denoise_ms10_a1,10,1,100
denoise_ms10_a2,10,2,100
denoise_ms10_a3,10,3,100
denoise_ms10_a5,10,5,100
denoise_ms10_a7,10,7,100
denoise_ms10_a9,10,9,100
denoise_ms10_a11,10,11,100
control_ms8_a2,8,2,100
readpercent_80_r1,8,2,80
readpercent_80_r2,8,2,80
readpercent_80_r3,8,2,80
readpercent_80_r4,8,2,80
readpercent_80_r5,8,2,80
readpercent_80_r6,8,2,80
readpercent_80_r7,8,2,80
readpercent_80_r8,8,2,80
readpercent_80_r9,8,2,80
readpercent_80_r10,8,2,80
readpercent_60_r1,8,2,60
readpercent_60_r2,8,2,60
readpercent_60_r3,8,2,60
readpercent_60_r4,8,2,60
readpercent_60_r5,8,2,60
readpercent_60_r6,8,2,60
readpercent_60_r7,8,2,60
readpercent_60_r8,8,2,60
readpercent_60_r9,8,2,60
readpercent_60_r10,8,2,60
readpercent_40_r1,8,2,40
readpercent_40_r2,8,2,40
readpercent_40_r3,8,2,40
readpercent_40_r4,8,2,40
readpercent_40_r5,8,2,40
readpercent_40_r6,8,2,40
readpercent_40_r7,8,2,40
readpercent_40_r8,8,2,40
readpercent_40_r9,8,2,40
readpercent_40_r10,8,2,40
readpercent_20_r1,8,2,20
readpercent_20_r2,8,2,20
readpercent_20_r3,8,2,20
readpercent_20_r4,8,2,20
readpercent_20_r5,8,2,20
readpercent_20_r6,8,2,20
readpercent_20_r7,8,2,20
readpercent_20_r8,8,2,20
readpercent_20_r9,8,2,20
readpercent_20_r10,8,2,20
