treeid,camp,species,circumference,diameter,baseheight,trayheight,height,fogdate,latitude,longitude,utm_x,utm_y,GPS_alt,DEM30_alt,DEM10_alt
3,BC,Liquidambar styracaflua,2.51,0.798957814,15.4,14.2,38.2,29/06/14,15.49415,-88.2141,369771.588,1713351.625,1547,1600,1600
4,CA,Liquidambar styracaflua,3.4,1.082253613,34,36,56.7,05/07/14,15.513676,-88.241706,366822.3513,1715528.159,1801.04,1832,1832
6,CA,Liquidambar styracaflua,4.75,1.511971959,21,23.3,41,15/07/14,15.512103,-88.241192,366876.4787,1715353.816,1798.19,1800,1800
7,CA,Liquidambar styracaflua,3.9,1.241408556,31,31,57,18/07/14,15.514935,-88.240959,366903.2877,1715666.98,1846.451416,1888,1887
8,GU,Liquidambar styracaflua,3.25,1.03450713,18,28,44.8,22/07/14,15.489062,-88.234162,367615.9031,1712800.398,1263.940063,1279,1282
9,GU,Liquidambar styracaflua,4.44,1.413295895,28.7,32.1,56.1,26/07/14,15.489539,-88.236183,367399.3928,1712854.417,1259.874878,1297,1290
10,GU,Liquidambar styracaflua,3.769911184,1.2,25,25,40,29/07/14,15.487425,-88.234609,367566.9064,1712619.57,1324.59,1294,1294
11,BC,Liquidambar styracaflua,2.87,0.913549373,23,25,37,02/08/14,15.495066,-88.213672,369817.8363,1713452.083,1602.21,1600,1600
12,BC,Liquidambar styracaflua,2.4,0.763943727,16.8,18.5,39,04/08/14,15.494596,-88.213369,369850.047,1713399.902,1527.39,1600,1600
13,BC,Liquidambar styracaflua,4.2,1.336901522,24,26.5,47.5,16/06/15,15.494643,-88.215253,369647.9662,1713406.246,1618.497803,1600,1600
14,CP,Liquidambar styracaflua,3.3,1.050422624,23,23,43,21/06/15,15.507523,-88.215256,369655.7229,1714831.173,1718.647827,1702,1698
15,CP,Liquidambar styracaflua,3.8,1.209577567,29,33.5,54,27/06/15,15.509429,-88.215302,369651.9846,1715042.064,1746.919312,1755,1754
16,CP,Liquidambar styracaflua,3.6,1.14591559,26,28.5,47.5,03/07/15,15.511137,-88.217709,369394.8608,1715232.488,1750.152344,1838,1834
17,CA,Pinus sp.,4.12,1.311436731,35,35,58,12/07/15,15.511752,-88.242441,366742.2744,1715315.76,1799.897705,1795,1795
18,CA,Pinus sp.,4.3,1.368732511,27,33,54,14/07/15,15.514112,-88.241734,366819.6274,1715576.412,1837.623779,1849,1845
19,GU,Pinus sp.,3.27,1.040873328,19.5,26.5,47.5,20/07/15,15.487468,-88.235778,367441.5216,1712625.049,1281.761841,1220,1230
20,GU,Pinus sp.,3.8,1.209577567,29,32,47,23/07/15,15.487633,-88.235027,367522.1951,1712642.839,1316.53064,1258,1265
